Id,SalePrice
1461,123676
1462,156759
1463,192422
1464,207421
1465,195880
1466,175148
1467,176642
1468,166604
1469,196759
1470,121256
1471,185736
1472,99587
1473,97446
1474,148025
1475,112576
1476,374804
1477,244839
1478,297141
1479,295957
1480,504308
1481,332109
1482,217033
1483,186373
1484,167707
1485,188305
1486,202052
1487,345384
1488,243121
1489,197065
1490,251240
1491,198350
1492,97645
1493,185005
1494,291756
1495,286717
1496,238281
1497,183135
1498,176119
1499,162593
1500,156069
1501,183290
1502,150483
1503,294380
1504,240206
1505,227461
1506,198147
1507,260735
1508,209034
1509,166246
1510,149531
1511,161622
1512,180883
1513,151101
1514,157666
1515,204395
1516,161834
1517,179157
1518,140776
1519,211448
1520,130082
1521,138024
1522,185054
1523,116056
1524,131711
1525,126331
1526,111341
1527,110177
1528,138576
1529,155110
1530,198821
1531,109730
1532,100085
1533,156378
1534,128410
1535,154761
1536,113858
1537,57586
1538,150403
1539,189458
1540,96450
1541,150857
1542,153735
1543,202686
1544,89477
1545,119144
1546,138378
1547,135890
1548,141933
1549,122788
1550,139356
1551,112323
1552,142677
1553,154279
1554,122662
1555,167984
1556,86874
1557,108680
1558,107251
1559,67908
1560,135170
1561,130676
1562,134859
1563,126087
1564,162031
1565,156579
1566,251881
1567,82175
1568,244837
1569,137103
1570,139088
1571,123515
1572,150801
1573,246965
1574,127357
1575,244349
1576,253435
1577,185350
1578,150195
1579,153412
1580,201339
1581,160064
1582,126809
1583,294822
1584,225248
1585,142274
1586,71014
1587,109282
1588,160231
1589,105785
1590,135705
1591,100700
1592,124492
1593,128371
1594,130143
1595,104422
1596,222959
1597,207721
1598,221684
1599,175302
1600,164990
1601,66338
1602,121354
1603,84396
1604,269265
1605,241672
1606,168395
1607,190698
1608,219286
1609,183706
1610,155255
1611,143105
1612,178228
1613,172812
1614,128966
1615,97882
1616,83705
1617,98865
1618,134042
1619,141357
1620,151081
1621,140142
1622,143055
1623,259941
1624,223075
1625,121406
1626,170249
1627,201584
1628,283130
1629,177630
1630,344666
1631,222214
1632,237173
1633,171270
1634,188525
1635,172462
1636,151821
1637,211985
1638,179776
1639,192190
1640,258987
1641,188050
1642,245320
1643,217077
1644,238033
1645,200688
1646,159715
1647,160440
1648,133457
1649,144150
1650,112711
1651,124376
1652,99608
1653,100511
1654,145898
1655,130100
1656,141993
1657,148629
1658,150505
1659,119272
1660,157526
1661,439308
1662,381579
1663,371745
1664,500294
1665,306679
1666,324669
1667,392655
1668,343543
1669,295887
1670,344198
1671,265450
1672,405543
1673,286004
1674,234339
1675,202486
1676,194157
1677,220916
1678,465596
1679,395799
1680,334027
1681,251399
1682,311319
1683,189163
1684,177704
1685,175625
1686,174951
1687,171578
1688,195031
1689,196734
1690,196574
1691,185434
1692,257576
1693,167827
1694,183005
1695,161161
1696,270282
1697,168380
1698,339169
1699,302182
1700,256887
1701,267780
1702,242198
1703,241833
1704,269617
1705,243918
1706,441615
1707,213704
1708,201878
1709,254515
1710,223558
1711,273826
1712,255832
1713,273091
1714,222143
1715,204818
1716,187592
1717,176296
1718,141244
1719,215263
1720,229119
1721,167126
1722,130778
1723,157247
1724,201731
1725,234200
1726,187046
1727,160549
1728,171387
1729,167372
1730,160504
1731,120372
1732,132099
1733,118171
1734,126964
1735,126762
1736,108081
1737,300642
1738,260766
1739,246112
1740,228635
1741,201153
1742,176027
1743,179055
1744,361135
1745,227121
1746,182129
1747,220532
1748,227304
1749,141966
1750,125640
1751,255758
1752,117676
1753,159657
1754,197536
1755,172793
1756,129722
1757,126093
1758,146001
1759,165967
1760,167956
1761,151466
1762,185677
1763,192646
1764,116538
1765,178881
1766,197883
1767,233240
1768,144814
1769,177797
1770,156848
1771,118168
1772,135536
1773,123786
1774,157237
1775,145666
1776,131547
1777,111599
1778,146207
1779,131587
1780,184725
1781,131400
1782,90624
1783,145224
1784,116977
1785,129624
1786,146435
1787,167470
1788,61300
1789,99965
1790,85888
1791,189285
1792,167042
1793,128785
1794,161364
1795,142592
1796,126235
1797,113337
1798,122988
1799,113369
1800,123121
1801,131373
1802,134927
1803,153328
1804,139603
1805,135236
1806,129633
1807,135914
1808,122224
1809,127304
1810,145275
1811,97144
1812,102607
1813,129966
1814,98910
1815,55476
1816,104475
1817,111918
1818,160762
1819,131136
1820,63104
1821,124501
1822,155729
1823,48529
1824,131877
1825,140951
1826,109122
1827,106706
1828,137673
1829,121033
1830,152867
1831,147668
1832,72151
1833,136610
1834,122602
1835,116322
1836,131891
1837,89158
1838,128041
1839,105564
1840,137297
1841,139557
1842,90757
1843,135624
1844,141464
1845,145090
1846,163310
1847,177981
1848,52470
1849,117957
1850,121591
1851,166079
1852,126408
1853,130103
1854,170364
1855,151789
1856,228170
1857,154639
1858,141326
1859,121488
1860,142786
1861,121735
1862,295523
1863,275724
1864,275809
1865,360044
1866,327731
1867,217151
1868,284999
1869,200448
1870,215265
1871,259303
1872,178407
1873,251898
1874,154378
1875,199668
1876,204604
1877,210565
1878,216035
1879,133063
1880,129406
1881,240949
1882,245536
1883,187254
1884,208328
1885,242144
1886,287149
1887,217286
1888,258631
1889,177880
1890,122066
1891,135190
1892,100200
1893,137502
1894,133375
1895,142216
1896,129868
1897,117193
1898,121772
1899,163624
1900,152801
1901,174632
1902,164816
1903,217314
1904,145358
1905,199346
1906,152027
1907,209137
1908,110365
1909,135189
1910,122198
1911,221287
1912,342401
1913,137985
1914,67625
1915,320311
1916,66123
1917,244349
1918,145086
1919,179456
1920,163173
1921,385093
1922,318911
1923,247470
1924,230768
1925,198689
1926,387193
1927,136942
1928,163691
1929,130493
1930,126007
1931,142170
1932,142886
1933,197275
1934,189939
1935,176802
1936,205199
1937,186304
1938,171057
1939,251764
1940,190729
1941,179909
1942,182646
1943,214061
1944,376244
1945,395610
1946,136561
1947,330450
1948,190424
1949,258596
1950,192651
1951,238315
1952,211073
1953,167376
1954,190814
1955,142670
1956,307731
1957,159214
1958,283724
1959,153254
1960,116989
1961,122840
1962,99219
1963,110044
1964,106509
1965,144737
1966,137116
1967,287747
1968,417657
1969,388202
1970,412108
1971,474866
1972,372316
1973,278438
1974,337136
1975,581495
1976,267806
1977,352611
1978,365290
1979,324853
1980,216738
1981,342870
1982,218595
1983,206358
1984,170478
1985,231351
1986,209271
1987,191462
1988,178783
1989,198421
1990,211902
1991,231164
1992,219532
1993,172462
1994,240035
1995,190227
1996,258669
1997,325958
1998,309254
1999,276437
2000,313972
2001,281754
2002,243634
2003,259498
2004,282268
2005,233295
2006,220029
2007,248941
2008,217959
2009,203151
2010,195709
2011,145613
2012,176357
2013,182474
2014,186289
2015,204887
2016,192081
2017,196143
2018,123266
2019,139555
2020,105210
2021,101497
2022,196336
2023,148756
2024,277602
2025,353448
2026,183170
2027,162424
2028,152897
2029,169037
2030,268338
2031,234345
2032,252754
2033,248921
2034,171236
2035,225507
2036,196930
2037,209611
2038,333888
2039,229904
2040,283898
2041,320094
2042,213276
2043,185158
2044,182566
2045,212645
2046,166313
2047,151904
2048,142466
2049,152935
2050,178326
2051,106734
2052,123821
2053,151193
2054,99400
2055,163707
2056,143744
2057,114906
2058,226938
2059,133796
2060,181239
2061,177970
2062,131054
2063,122464
2064,145086
2065,119934
2066,165856
2067,122073
2068,160831
2069,91382
2070,119885
2071,98013
2072,137324
2073,130648
2074,180929
2075,153942
2076,120567
2077,158553
2078,123156
2079,135909
2080,122427
2081,127755
2082,120131
2083,156711
2084,113027
2085,121049
2086,105950
2087,127173
2088,101312
2089,83098
2090,131314
2091,109114
2092,128289
2093,122436
2094,109522
2095,151964
2096,85395
2097,100878
2098,151887
2099,55519
2100,67627
2101,113571
2102,131180
2103,107932
2104,148791
2105,136979
2106,61837
2107,190112
2108,119062
2109,115162
2110,129230
2111,140409
2112,141813
2113,125366
2114,132420
2115,170920
2116,119983
2117,148976
2118,131640
2119,123739
2120,116354
2121,96444
2122,123203
2123,84528
2124,156785
2125,127773
2126,153878
2127,190009
2128,127172
2129,90231
2130,135819
2131,140242
2132,115270
2133,124939
2134,121626
2135,99265
2136,78403
2137,112007
2138,141217
2139,149818
2140,141613
2141,163111
2142,135009
2143,154689
2144,123237
2145,145360
2146,182718
2147,140167
2148,138950
2149,155401
2150,233690
2151,116099
2152,181584
2153,171845
2154,104751
2155,145954
2156,261599
2157,231433
2158,241837
2159,216031
2160,189057
2161,233649
2162,387820
2163,348025
2164,242020
2165,205957
2166,160976
2167,221409
2168,199575
2169,201075
2170,211540
2171,162787
2172,133784
2173,176440
2174,232996
2175,292973
2176,310103
2177,242382
2178,215874
2179,140965
2180,215426
2181,204649
2182,231705
2183,193777
2184,122977
2185,137426
2186,156250
2187,148158
2188,160388
2189,320449
2190,83176
2191,85967
2192,89213
2193,121168
2194,111122
2195,108251
2196,104447
2197,125779
2198,167471
2199,181888
2200,152894
2201,144796
2202,215410
2203,137645
2204,186322
2205,128398
2206,143723
2207,211125
2208,264414
2209,256056
2210,121417
2211,115163
2212,124077
2213,107445
2214,137453
2215,100947
2216,151369
2217,60961
2218,84320
2219,78678
